CAB,MONTH,Kategori,GO RESTO,GRAB FOOD,QRIS SHOPEE,QRIS TELKOM/ESB,SHOPEEPAY
BDGGAT,01-Dec-24,BAYAR 1 KALI - BANYAK STRUK (QRIS),0,0,0,0,0
BDGGAT,01-Dec-24,BAYAR LEBIH DARI 1 KALI - 1 STRUK (QRIS),0,0,0,0,0
BDGGAT,01-Dec-24,BAYAR LEBIH DARI 1 KALI - BANYAK STRUK (QRIS),0,0,0,0,0
BDGGAT,01-Dec-24,CANCEL NOTA,-82503,0,-101500,0,-72501
BDGGAT,01-Dec-24,DOUBLE INPUT,0,0,0,0,-149503
BDGGAT,01-Dec-24,INVOICE BEDA HARI,-250514,-2543664,0,0,-5105045
BDGGAT,01-Dec-24,KURANG INPUT (OJOL),0,0,0,0,0
BDGGAT,01-Dec-24,SALAH SLOT PEMBAYARAN,0,0,103500,0,0
BDGGAT,01-Dec-24,SELISIH IT,0,0,0,0,301209
BDGGAT,01-Dec-24,SELISIH KURANG BAYAR OJOL,0,0,0,0,-56510
BDGGAT,01-Dec-24,SELISIH KURANG BAYAR QRIS,0,0,-4500,0,0
BDGGAT,01-Dec-24,SELISIH LEBIH BAYAR OJOL,0,0,0,0,296991
BDGGAT,01-Dec-24,SELISIH LEBIH BAYAR QRIS,0,0,4500,0,0
BDGGAT,01-Dec-24,TIDAK ADA INVOICE OJOL,0,0,0,0,-215501
BDGGAT,01-Dec-24,TIDAK ADA INVOICE QRIS,0,0,-337500,0,0
BDGGAT,01-Dec-24,TIDAK ADA TRANSAKSI DI WEB,82503,0,2501,0,63000
BDGGAT,01-Dec-24,TRANSAKSI KEMARIN,250514,2472163,0,0,5001044
BDGNAS,01-Dec-24,CANCEL NOTA,0,0,0,0,-99501
BDGNAS,01-Dec-24,INVOICE BEDA HARI,-483528,-5123824,0,0,-7234065
BDGNAS,01-Dec-24,KURANG INPUT (OJOL),0,0,0,0,0
BDGNAS,01-Dec-24,PROMO MARKETING/ADJUSTMENT,0,-25496.7,0,0,0
BDGNAS,01-Dec-24,SALAH SLOT PEMBAYARAN,0,0,27000,0,-26001
BDGNAS,01-Dec-24,SELISIH IT,20,0,0,0,686203
BDGNAS,01-Dec-24,SELISIH KURANG BAYAR OJOL,0,0,0,0,-205009
BDGNAS,01-Dec-24,SELISIH LEBIH BAYAR OJOL,0,0,0,0,16498
BDGNAS,01-Dec-24,TIDAK ADA INVOICE OJOL,-73005,-225513,0,0,-199001
BDGNAS,01-Dec-24,TIDAK ADA INVOICE QRIS,0,0,-31000,0,0
BDGNAS,01-Dec-24,TIDAK ADA TRANSAKSI DI WEB,0,0,0,0,32000
BDGNAS,01-Dec-24,TRANSAKSI KEMARIN,483528,5096825,0,0,7236067
BDGPAS,01-Dec-24,BAYAR 1 KALI - BANYAK STRUK (QRIS),0,0,0,0,0
BDGPAS,01-Dec-24,BAYAR LEBIH DARI 1 KALI - 1 STRUK (QRIS),0,0,0,0,0
BDGPAS,01-Dec-24,BAYAR LEBIH DARI 1 KALI - BANYAK STRUK (QRIS),0,0,0,0,0
BDGPAS,01-Dec-24,CANCEL NOTA,-30002,0,0,0,0
BDGPAS,01-Dec-24,DOUBLE INPUT,0,0,0,0,-54001
BDGPAS,01-Dec-24,INVOICE BEDA HARI,0,-2644162,-729500,0,-1638015
BDGPAS,01-Dec-24,KURANG INPUT (OJOL),0,0,0,0,0
