CAB,MONTH,SOURCE,KAT,NOM
BDGGAT,01-Dec-24,INVOICE,GO RESTO,331466235
BDGGAT,01-Dec-24,INVOICE,GRAB FOOD,127229025
BDGGAT,01-Dec-24,INVOICE,QRIS SHOPEE,348110001
BDGGAT,01-Dec-24,INVOICE,SHOPEEPAY,724459426
BDGGAT,01-Dec-24,WEB,CASH,899647000
BDGGAT,01-Dec-24,WEB,CLOUD VOUCHER,6508000
BDGGAT,01-Dec-24,WEB,EDC,82162500
BDGGAT,01-Dec-24,WEB,GO RESTO,331466235
BDGGAT,01-Dec-24,WEB,GRAB FOOD,127300526
BDGGAT,01-Dec-24,WEB,QRIS SHOPEE,348443000
BDGGAT,01-Dec-24,WEB,RESERVASI,110000
BDGGAT,01-Dec-24,WEB,SHOPEEPAY,724396242
BDGNAS,01-Dec-24,INVOICE,GO RESTO,319299019
BDGNAS,01-Dec-24,INVOICE,GRAB FOOD,199783684.3
BDGNAS,01-Dec-24,INVOICE,QRIS SHOPEE,27000
BDGNAS,01-Dec-24,INVOICE,SHOPEEPAY,1046969770
BDGNAS,01-Dec-24,WEB,CASH,1334537000
BDGNAS,01-Dec-24,WEB,CLOUD VOUCHER,6395000
BDGNAS,01-Dec-24,WEB,EDC,425556000
BDGNAS,01-Dec-24,WEB,GO RESTO,319372004
BDGNAS,01-Dec-24,WEB,GRAB FOOD,200061693
BDGNAS,01-Dec-24,WEB,QRIS SHOPEE,31000
BDGNAS,01-Dec-24,WEB,SHOPEEPAY,1046762579
BDGPAS,01-Dec-24,INVOICE,GO RESTO,269400613
BDGPAS,01-Dec-24,INVOICE,GRAB FOOD,151758067
BDGPAS,01-Dec-24,INVOICE,QRIS SHOPEE,177134000
BDGPAS,01-Dec-24,INVOICE,SHOPEEPAY,473195260
BDGPAS,01-Dec-24,WEB,CASH,560627000
BDGPAS,01-Dec-24,WEB,CLOUD VOUCHER,1752500
BDGPAS,01-Dec-24,WEB,EDC,93289000
BDGPAS,01-Dec-24,WEB,GO RESTO,269430611
BDGPAS,01-Dec-24,WEB,GRAB FOOD,151809070
