Month,PIC,Pemasok,Kategori Pemasok,Kategori Barang,Nama Cabang,Kode #,#Prime.Qty,#Purch.Total,min,max
January,LAINNYA,PT DAYKLIN INDONESIA SEJAHTERA - NEW,CORPORATE,00.COST,BGRSHO,200318,50.0,1800000.0,36000.0,36000.0
January,LAINNYA,PT DAYKLIN INDONESIA SEJAHTERA - NEW,CORPORATE,00.COST,BGRSAP,200318,50.0,1800000.0,36000.0,36000.0
January,LAINNYA,PT DAYKLIN INDONESIA SEJAHTERA - NEW,CORPORATE,00.COST,BGRPAD,200318,70.0,2520000.0,36000.0,36000.0
January,LAINNYA,PT DAYKLIN INDONESIA SEJAHTERA - NEW,CORPORATE,00.COST,BGRABD,200318,48.0,1728000.0,36000.0,36000.0
January,LAINNYA,PT DAICHINDO SUKSES MANDIRI - HO,NON-BAHAN,Jasa Lainnya (Badan Usaha) [NP RESTO],SINGO,410148,2.0,3850000.0,550000.0,3300000.0
January,LAINNYA,PT DAICHINDO SUKSES MANDIRI - HO,NON-BAHAN,ASSET [AKTIVA],SINGO,910001,1.0,88850000.0,88850000.0,88850000.0
January,LAINNYA,PT DAYKLIN INDONESIA SEJAHTERA - NEW,CORPORATE,00.COST,BGRTAJ,200318,64.0,2304000.0,36000.0,36000.0
January,LAINNYA,PT AMIRA PERDANA - HO,KONTRAKTOR,Pemeliharaan Listrik [NP RESTO],GGPPAN,410004,1.0,45753713.0,45753713.0,45753713.0
January,LAINNYA,PT ADIKA DWIKARYA UTAMA - HO,NON-BAHAN,Biaya PPN [NP ALL,SINGO,410142,1.0,19058.0,19058.0,19058.0
January,LAINNYA,PT ADIKA DWIKARYA UTAMA - HO,NON-BAHAN,Biaya Ongkos Kirim [NP COST CP],SINGO,410026,1.0,1732500.0,1732500.0,1732500.0
January,LAINNYA,PRO SMART (CV.MULTINDO KREASI) - NEW,CORPORATE,00.COST,MGGTID,200319,24.0,1080000.0,45000.0,45000.0
January,LAINNYA,PRO SMART (CV.MULTINDO KREASI) - NEW,CORPORATE,00.COST,MGGTID,200318,39.0,1755000.0,45000.0,45000.0
