Quarter,Nama Barang,AVG PICK UP,AVG PEMBELIAN,AVG SALDO AKHIR,HARGA PEMBELIAN TERAKHIR,TOTAL [PEMBELIAN],OVERSTOCK,BUFFER STOCK,TOTAL [SALDO AKHIR],ANGKA STANDART BARU,OVERSTOCK [ANGKA STANDART BARU],ANGKA STANDART LAMA,Kategori,OVERSTOCK [ANGKA STANDART LAMA]
Q3,SAFETY GAS COOK (GASVALVE GS3878)8325183,10.0,,131.0,1639727.0,,OK,10.0,214804237.0,20.0,OVER,0,MAINTENANCE,OVER
Q3,SAFETY GAS VALVE WITH INLET BRACKET&SREW,24.0,20.0,193.0,798308.0,15966160.0,OK,37.0,154073444.0,61.0,OVER,0,MAINTENANCE,OVER
Q3,SAJADAH,19.0,75.0,305.0,35000.0,2625000.0,OVER,7.0,10675000.0,26.0,OVER,84,,OVER
Q3,SARINGAN MIE,1270.0,1321.0,740.0,82800.0,109378800.0,OK,29.0,61272000.0,1299.0,LOW,2200,,LOW
Q3,SARINGAN MINYAK,73.0,96.0,107.0,60000.0,5760000.0,OVER,6.0,6420000.0,79.0,OVER,156,,LOW
Q3,SARINGAN TEH GACOAN,51.0,,278.0,32899.0,,OK,9.0,9145922.0,60.0,OVER,130,,OVER
Q3,SARUNG,19.0,75.0,217.0,55000.0,4125000.0,OVER,7.0,11935000.0,26.0,OVER,84,,OVER
Q3,SCALE OFF (PEMBERSIH TANGKI BOILER),112.0,115.0,129.0,159200.0,18308000.0,OVER,31.0,20536800.0,143.0,OK,180,,LOW
Q3,SEAL PACK 3.5 LTR/3500 ML,320.0,600.0,646.0,20000.0,12000000.0,OVER,99.0,12920000.0,419.0,OVER,430,,OVER
Q3,SEAL PACK DIMSUM,342.0,562.0,704.0,34000.0,19108000.0,OVER,76.0,23936000.0,418.0,OVER,980,,LOW
Q3,SEAL PACK POWDER,142.0,145.0,145.0,16000.0,2320000.0,OVER,12.0,2320000.0,154.0,OK,320,,LOW
Q3,SENDOK ES STAINLESS,42.0,126.0,322.0,2292.0,288792.0,OVER,18.0,738024.0,60.0,OVER,206,,OVER
Q3,SENDOK MAKAN STAINLESS,44.0,,1452.0,27500.0,,OK,28.0,39930000.0,72.0,OVER,23,,OVER
Q3,SENDOK TAKAR 12 GRM,65.0,,5493.0,2197.8,,OK,5.0,12072515.4,70.0,OVER,266,,OVER
Q3,SENDOK TAKAR PLASTIK,62.0,,282.0,35000.0,,OK,19.0,9870000.0,81.0,OVER,222,,OVER
Q3,SENDOK TAKAR STAINLESS,106.0,,748.0,49699.0,,OK,37.0,37174852.0,143.0,OVER,368,,OVER
Q3,SEROK BESAR KAWAT,77.0,84.0,55.0,40000.0,3360000.0,OK,31.0,2200000.0,108.0,LOW,40,,OK
Q3,SEROK ICE,46.0,7.0,418.0,55000.0,385000.0,OK,8.0,22990000.0,54.0,OVER,135,,OVER
Q3,SHAKER 750,72.0,,388.0,108100.0,,OK,18.0,41942800.0,90.0,OVER,223,,OVER
Q3,SPATULA MIE IBLIS ( SODET COKLAT ),104.0,200.0,189.0,45100.0,9020000.0,OVER,17.0,8523900.0,121.0,OVER,328,,LOW
Q3,SPATULA STAINLESS,126.0,,250.0,75000.0,,OK,41.0,18750000.0,167.0,OVER,501,,LOW
Q3,STEMPEL,18.0,,290.0,68500.0,,OK,6.0,19865000.0,24.0,OVER,135,,OVER
Q3,STICK PENGGANTI LAMPU,6.0,25.0,64.0,65000.0,1625000.0,OVER,2.0,4160000.0,8.0,OVER,32,,OVER
Q3,STIK DRUM,150.0,208.0,127.0,11000.0,2288000.0,OK,31.0,1397000.0,181.0,LOW,230,,LOW
Q3,STRAINER BOWL STAINLESS LUBANG BASKOM KECIL,90.0,,1418.0,42000.0,,OK,40.0,59556000.0,130.0,OVER,498,,OVER
Q3,SUTIL,54.0,67.0,69.0,45000.0,3015000.0,OVER,3.0,3105000.0,57.0,OVER,82,,LOW
Q3,TALENAN PLASTIK,25.0,53.0,88.0,70000.0,3710000.0,OVER,6.0,6160000.0,31.0,OVER,81,,OVER
Q3,TANGGA 3 METER,5.0,,82.0,1430000.0,,OK,3.0,117260000.0,8.0,OVER,36,,OVER
Q3,TANGKI BOILER,7.0,,11.0,2461875.0,,OK,1.0,27080625.0,8.0,OVER,0,MAINTENANCE,OVER
