Kode #,Nama Barang,Kategori Barang,PIC
100179,SUPER PAO OREO,FOOD [WIP] - COM,WIP
100180,SUPER PAO TELUR ASIN,FOOD [WIP] - COM,WIP
100181,LUMPIA GORENG KULIT TAHU,FOOD [WIP] - COM,WIP
100182,TEPUNG NAGA BIRU,FOOD [RM] - COM,CP
100183,POTASSIUM SORBAT - MAKLOON,FOOD [RM] - COM,CP
100184,GARAM - MAKLOON,FOOD [RM] - COM,CP
100185,MSG - MAKLOON,FOOD [RM] - COM,CP
100191,VANILLA SOFT MIX ICE MIX,FOOD [RM] - COM,RESTO
100192,WAFER CONE,FOOD [RM] - COM,RESTO
100193,OREO CRUMB,FOOD [RM] - COM,RESTO
100194,CHOCOLATE COATING,FOOD [RM] - COM,RESTO
100195,CHOCOLATE SAUCE,FOOD [RM] - COM,RESTO
100196,STRAWBERRY SAUCE,FOOD [RM] - COM,RESTO
100197,SUPER PAO TARO,FOOD [WIP] - COM,WIP
100198,SUPER PAO COKELAT,FOOD [WIP] - COM,WIP
100199,SUPER PAO KACANG HIJAU,FOOD [WIP] - COM,WIP
100200,SUN QUICK LEMON (V.020),FOOD [RM] - COM,RESTO
100201,MUTIARA BOBA PEARL,FOOD [RM] - COM,RESTO
100202,SIGNATURE BROWN SUGAR,FOOD [RM] - COM,RESTO
