Month,PIC,Pemasok,Kategori Pemasok,Kategori Barang,Nama Cabang,Kode #,#Prime.Qty,#Purch.Total,min,max
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],BFNTLT,410105,3950,3100750,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],NQQIOU,410105,12200,9577000,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],VYJUMN,410105,8400,8274000,985,985
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],EJBHRR,410105,4670,3665950,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],UROTOU,410105,6660,5228100,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],EFVNJZ,410105,5150,4042750,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],DEMUFC,410105,7160,5620600,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],HLCMCQ,410105,5100,4003500,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],HZERZV,410105,8500,6672500,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],PIKBZU,410105,9400,7379000,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],LVZNFM,410105,7900,7900000,1000,1000
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],RQXKOD,410105,10250,8046250,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],YYFEWX,410105,4200,3297000,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],KAZNMJ,410105,7150,5612750,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],MOZUUP,410105,2450,1923250,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],DTGQVP,410105,10450,8203250,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],OMFVGU,410105,4500,3532500,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],FJTDPL,410105,6850,5377250,785,785
January,LAINNYA,PT. ANTI-VENOM MARVEL COMICS,CORPORATE,Biaya Bahan Pembantu [NPCR],MEMPNM,410105,5200,4082000,785,785
January,LAINNYA,PT. AURORA MARVEL COMICS,NON-BAHAN,Beban Internet [NPR],HQAZVF,410145,2,2775000,275000,2500000
January,LAINNYA,PT. BLACK CANARY DC COMICS,CORPORATE,COST - PACKAGING,QTVKJD,200212,65000,51999975,799.999,800
January,LAINNYA,PT. AURORA MARVEL COMICS,NON-BAHAN,Beban Internet [NPR],VGXQFC,410145,2,2775000,275000,2500000
January,LAINNYA,PT. ATOM GIRL DC COMICS,CORPORATE,COST - PACKAGING,PKXAYH,200746,24000,1120000,46.666666,46.666666
January,LAINNYA,PT. ATLAS MARVEL COMICS,CORPORATE,Kebersihan [NPCR],SCSWVW,410273,16,740000,46250,46250
January,LAINNYA,PT. ATLAS MARVEL COMICS,CORPORATE,Kebersihan [NPCR],ASVAQS,410273,28,1294998,46249.75,46250
January,LAINNYA,PT. ATLAS MARVEL COMICS,CORPORATE,Kebersihan [NPCR],YWRHIB,410273,27,1248750,46250,46250
January,LAINNYA,PT. ATLAS MARVEL COMICS,CORPORATE,Kebersihan [NPCR],HPIUDM,410273,48,2219999,46249.9375,46250
January,LAINNYA,PT. ATLAS MARVEL COMICS,CORPORATE,Kebersihan [NPCR],OOHVHF,410273,38,1757500,46250,46250
January,LAINNYA,PT. ATLAS MARVEL COMICS,CORPORATE,Kebersihan [NPCR],ESKCEG,410273,27,1248750,46250,46250
January,LAINNYA,PT. ATLAS MARVEL COMICS,CORPORATE,Kebersihan [NPCR],RAUIXW,410273,19,878749,46249.9375,46250
January,LAINNYA,RED MARTIAN 2,NON-BAHAN,ASSET,HPBCMY,910001,1,5550000,5550000,5550000
